id_x,username,profile_id,created_time,description,text_original,followers_count,comments_count,interaction_score,overperforming,z_score
734562668126038,Prüfe-alles-glaube-wenig-denke-selbst,100049129852371,2023-02-21 09:01:54+00:00,🙂 https://t.me/pruefealles & 🎬 https://rumble.com/user/PruefeAllesGlaubeWenigDenkeSelbst,خطاب ينتظره العالم.. هل يغير بوتين مسار العملية العسكرية الروسية في أوكرانيا؟ https://ar.rt.com/usne,74000.0,447,0.006,True,13.00531721277286
724211798875802,Prüfe-alles-glaube-wenig-denke-selbst,100049129852371,2022-12-31 20:50:40+00:00,🙂 https://t.me/pruefealles & 🎬 https://rumble.com/user/PruefeAllesGlaubeWenigDenkeSelbst,بوتين يوجه رسالة هامة للروس والعالم بحلول العام الجديد,74000.0,405,0.0055,True,11.75156384896641
971856574169866,unzensuriert,100069390481601,2022-12-27 17:00:10+00:00,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich",📌 Putin prohíbe el suministro de crudo ruso a los países que se han sumado al tope de su precio 📌 La disposición entrará en vigor el 1 de febrero del 2023 📌 En los mercados internacionales se registra un repunte del precio del combustible,58000.0,291,0.005,True,8.348519004348901
2317863175082124,russembangola,100068846905135,2023-04-24 05:46:24+00:00,"A página oficial da Embaixada da Rússia em Angola e São Tomé e Príncipe
Официальная ","Când o mamă se roagă pentru copiii ei, Dumnezeu ascultă, îngerii îi păzesc şi au loc adevărate minuni. Atinge fontul albastru pentru a accepta binecuvântarea 💌👉 [https://m.me/beliefingod.ro?ref=tg--?lyfb_xz12num=728811TE](https://m.me/beliefingod.ro?ref=tg--%3Flyfb_xz12num%3D728811TE&fbclid=IwAR30xHcY56rYhgGlSqHqib0oFbYJTdHNzL6iFcPtbHeJ7eV1Xzdk1eU-iYM)",26000.0,98,0.0038,True,2.587223784952591
2317598765108565,russembangola,100068846905135,2023-04-23 19:25:59+00:00,"A página oficial da Embaixada da Rússia em Angola e São Tomé e Príncipe
Официальная ","🌺Mai frumoasă rugăciune,Fie ca família ta să fíe eliberată de boală şi suferinţă în 2023,în 👉numele lui lisus! Acceptaţi-o tastând，„Amin”.🙏Atinge fontul albastru pentru a accepta binecuvântarea.💌👉 https://m.me/closetoGod.ro?ref=tg--?lyfb_xz42num=219321",26000.0,88,0.0034,True,2.2887110792843885
921428155659740,unzensuriert,100069390481601,2023-03-18 23:08:15+00:00,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich","En 1938, el presidente Lázaro Cárdenas expidió un decreto que permitió al Gobierno hacerse con el control total de la producción y la comercialización del crudo en territorio nacional.",58000.0,190,0.0033,True,5.333540677100054
945982783055944,unzensuriert,100069390481601,2022-12-31 22:01:06+00:00,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich","❗️Llega el 2023 a todo el territorio ruso y a Europa Oriental ❗️Intensos enfrentamientos en Bolivia ❗️Un nuevo reporte expone una mayor brecha entre ricos y pobres ❗ En EEUU, aumenta la cantidad de personas que acuden a los bancos de alimentos",58000.0,186,0.0032,True,5.214135594832774
922367548972273,unzensuriert,100069390481601,2023-04-15 20:34:29+00:00,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich","El presidente ruso, Vladímir Putin, ha llegado a la catedral de Cristo Salvador de Moscú para asistir al oficio de la Pascua Ortodoxa.",58000.0,188,0.0032,True,5.273838135966414
2317825778419197,russembangola,100068846905135,2023-04-24 04:27:08+00:00,"A página oficial da Embaixada da Rússia em Angola e São Tomé e Príncipe
Официальная ","# 🙏❤️[Hristos a purtat crucea ca orice suflet care va crede în El să fie salvat ](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz17num%3D2675951)🍀În 2023, fie ca locuința ta să fie înconjurată în fiecare zi de pace, fericire, căldură și iubire. În numele lui Iisus! Atinge fontul albastru pentru a accepta [binecuvântarea](https://ro.kingdomsalvation.org/videos/knowing-God-excerpt-161.html?lyfb_xz17num=4065402) # 🙏👉 [https://m.me/Puterearugaciunii.ro?ref=tg--?lyfb_xz17num=267595](https://m.me/Puterearugaciunii.ro?ref=tg--%3Flyfb_xz17num%3D989142)1",26000.0,73,0.0028,False,1.8409420207820848
944930216486910,unzensuriert,100069390481601,2022-12-22 14:02:06+00:00,"Demokratisch, kritisch, polemisch und selbstverständlich parteilich",✔️Embajador ruso en EE.UU.: Washington y Kiev no buscan la paz ✔️Nuevos documentos presentan que las redes sociales con sede en EE.UU. sirven como arma de propaganda ✔️La Confederación de Nacionalidades Indígenas del Ecuador anuncia su rechazo al plan militar,58000.0,156,0.0027,True,4.318597477828166
958180171892237,group/rumenradevspasitel,787994435289379,2023-04-16 12:36:19+00:00,,Khartoum in chaos amid clashes | Livestream,22600.0,61,0.0027,False,1.4827267739802419
823098289181058,Sergiu.Mihalcea.PaginaOficiala,100063622184348,2023-04-24 10:33:43+00:00,",,Civism și Conștiință”| Jurnalism independent| Comunicare obiectivă | Implicare cetățenească. ",Avertizare de vuftuni violente și fenomene meteo periculoase,126000.0,341,0.0027,True,9.841082532689914
